asteroid number,asteroid name,wavelength,reflectance,uncertainty
192,nausikaa,0.6467,0.72682,0.00864
192,nausikaa,0.6489,0.72725,0.00858
192,nausikaa,0.6511,0.76914,0.00886
192,nausikaa,0.6533,0.74201,0.00855
192,nausikaa,0.6555,0.73458,0.00793
192,nausikaa,0.6577,0.75238,0.00790
192,nausikaa,0.6599,0.73218,0.00743
192,nausikaa,0.6621,0.76707,0.00765
192,nausikaa,0.6686,0.74550,0.00662
192,nausikaa,0.6707,0.75989,0.00658
192,nausikaa,0.6729,0.73435,0.00616
192,nausikaa,0.6750,0.77763,0.00649
192,nausikaa,0.6772,0.73215,0.00587
192,nausikaa,0.6793,0.76103,0.00594
192,nausikaa,0.6815,0.75668,0.00567
192,nausikaa,0.6836,0.76375,0.00565
192,nausikaa,0.6858,0.73296,0.00540
192,nausikaa,0.6879,0.75778,0.00552
192,nausikaa,0.6901,0.76385,0.00537
192,nausikaa,0.6922,0.75488,0.00523
192,nausikaa,0.6944,0.74302,0.00490
192,nausikaa,0.6966,0.76809,0.00500
192,nausikaa,0.6987,0.74871,0.00472
192,nausikaa,0.7009,0.75580,0.00450
192,nausikaa,0.7031,0.75697,0.00426
192,nausikaa,0.7053,0.75559,0.00420
192,nausikaa,0.7075,0.74234,0.00397
192,nausikaa,0.7097,0.76336,0.00402
192,nausikaa,0.7119,0.74946,0.00381
192,nausikaa,0.7142,0.75770,0.00379
192,nausikaa,0.7164,0.73552,0.00364
192,nausikaa,0.7186,0.77053,0.00374
192,nausikaa,0.7209,0.74793,0.00353
192,nausikaa,0.7232,0.76248,0.00355
192,nausikaa,0.7254,0.75067,0.00336
192,nausikaa,0.7277,0.76326,0.00338
192,nausikaa,0.7300,0.75768,0.00329
192,nausikaa,0.7324,0.76095,0.00324
192,nausikaa,0.7347,0.76600,0.00315
192,nausikaa,0.7370,0.76770,0.00313
192,nausikaa,0.7394,0.76075,0.00299
192,nausikaa,0.7418,0.78027,0.00303
192,nausikaa,0.7442,0.76462,0.00288
192,nausikaa,0.7466,0.77676,0.00284
192,nausikaa,0.7490,0.77587,0.00280
192,nausikaa,0.7514,0.78002,0.00277
192,nausikaa,0.7539,0.79120,0.00276
192,nausikaa,0.7563,0.80016,0.00281
192,nausikaa,0.7588,0.77997,0.00290
192,nausikaa,0.7613,0.77668,0.00296
192,nausikaa,0.7639,0.77156,0.00293
192,nausikaa,0.7664,0.79193,0.00291
192,nausikaa,0.7689,0.78226,0.00276
192,nausikaa,0.7715,0.78129,0.00261
192,nausikaa,0.7741,0.76272,0.00247
192,nausikaa,0.7767,0.78287,0.00245
192,nausikaa,0.7793,0.78294,0.00240
192,nausikaa,0.7820,0.79413,0.00239
192,nausikaa,0.7846,0.78138,0.00233
192,nausikaa,0.7873,0.79157,0.00237
192,nausikaa,0.7900,0.78112,0.00233
192,nausikaa,0.7927,0.78538,0.00234
192,nausikaa,0.7955,0.78277,0.00230
192,nausikaa,0.7982,0.78339,0.00231
192,nausikaa,0.8010,0.77824,0.00227
192,nausikaa,0.8038,0.77705,0.00228
192,nausikaa,0.8066,0.77921,0.00222
192,nausikaa,0.8094,0.76892,0.00219
192,nausikaa,0.8123,0.77471,0.00221
192,nausikaa,0.8152,0.78226,0.00223
192,nausikaa,0.8181,0.77161,0.00218
192,nausikaa,0.8210,0.77934,0.00220
192,nausikaa,0.8239,0.77046,0.00215
192,nausikaa,0.8269,0.76562,0.00215
192,nausikaa,0.8298,0.76419,0.00210
192,nausikaa,0.8328,0.76731,0.00212
192,nausikaa,0.8358,0.75633,0.00206
192,nausikaa,0.8389,0.76612,0.00208
192,nausikaa,0.8419,0.76767,0.00207
192,nausikaa,0.8450,0.76777,0.00207
192,nausikaa,0.8481,0.75728,0.00202
192,nausikaa,0.8512,0.75345,0.00203
192,nausikaa,0.8543,0.75216,0.00201
192,nausikaa,0.8575,0.76624,0.00206
192,nausikaa,0.8606,0.75898,0.00202
192,nausikaa,0.8638,0.75824,0.00202
192,nausikaa,0.8670,0.75329,0.00198
192,nausikaa,0.8702,0.75579,0.00197
192,nausikaa,0.8735,0.75665,0.00195
192,nausikaa,0.8768,0.75254,0.00195
192,nausikaa,0.8800,0.74471,0.00190
192,nausikaa,0.8833,0.75779,0.00192
192,nausikaa,0.8867,0.75352,0.00190
192,nausikaa,0.8900,0.75950,0.00191
192,nausikaa,0.8934,0.75554,0.00191
192,nausikaa,0.8967,0.75497,0.00191
192,nausikaa,0.9001,0.75336,0.00188
192,nausikaa,0.9035,0.75471,0.00189
192,nausikaa,0.9070,0.75158,0.00187
192,nausikaa,0.9104,0.75166,0.00187
192,nausikaa,0.9139,0.74753,0.00184
192,nausikaa,0.9174,0.75081,0.00185
192,nausikaa,0.9209,0.74834,0.00183
192,nausikaa,0.9244,0.75029,0.00184
192,nausikaa,0.9279,0.73794,0.00180
192,nausikaa,0.9315,0.74057,0.00184
192,nausikaa,0.9351,0.73743,0.00183
192,nausikaa,0.9386,0.75002,0.00187
192,nausikaa,0.9423,0.75165,0.00190
192,nausikaa,0.9459,0.74932,0.00186
192,nausikaa,0.9495,0.74202,0.00182
192,nausikaa,0.9532,0.74729,0.00182
192,nausikaa,0.9568,0.74343,0.00179
192,nausikaa,0.9605,0.75043,0.00179
192,nausikaa,0.9642,0.74612,0.00174
192,nausikaa,0.9680,0.75165,0.00175
192,nausikaa,0.9717,0.74844,0.00171
192,nausikaa,0.9754,0.75087,0.00170
192,nausikaa,0.9792,0.75356,0.00170
192,nausikaa,0.9830,0.75994,0.00171
192,nausikaa,0.9868,0.76075,0.00169
192,nausikaa,0.9906,0.76375,0.00169
192,nausikaa,0.9944,0.77288,0.00169
192,nausikaa,0.9982,0.77496,0.00169
192,nausikaa,1.0021,0.77495,0.00168
192,nausikaa,1.0059,0.77380,0.00168
192,nausikaa,1.0098,0.77265,0.00167
192,nausikaa,1.0137,0.77835,0.00168
192,nausikaa,1.0176,0.76653,0.00164
192,nausikaa,1.0215,0.77780,0.00166
192,nausikaa,1.0255,0.78256,0.00166
192,nausikaa,1.0294,0.78104,0.00166
192,nausikaa,1.0334,0.77213,0.00164
192,nausikaa,1.0373,0.77611,0.00165
192,nausikaa,1.0413,0.77937,0.00164
192,nausikaa,1.0453,0.78752,0.00166
192,nausikaa,1.0493,0.78391,0.00163
192,nausikaa,1.0533,0.79036,0.00165
192,nausikaa,1.0573,0.77040,0.00159
192,nausikaa,1.0614,0.79057,0.00164
