WAVELENGTH,REFLECTANCE,UNCERTAINTY,family
0.6449,0.85365,0.00419,elektra
0.6472,0.83548,0.00407,elektra
0.6494,0.82955,0.00400,elektra
0.6516,0.83728,0.00391,elektra
0.6539,0.83581,0.00388,elektra
0.6561,0.81721,0.00370,elektra
0.6583,0.84410,0.00374,elektra
0.6604,0.82541,0.00360,elektra
0.6626,0.83901,0.00355,elektra
0.6648,0.82722,0.00344,elektra
0.6669,0.83093,0.00343,elektra
0.6691,0.82711,0.00333,elektra
0.6713,0.83011,0.00333,elektra
0.6734,0.83626,0.00324,elektra
0.6756,0.84385,0.00321,elektra
0.6777,0.82818,0.00314,elektra
0.6798,0.83953,0.00311,elektra
0.6820,0.84360,0.00307,elektra
0.6841,0.84191,0.00309,elektra
0.6863,0.83627,0.00296,elektra
0.6884,0.84533,0.00299,elektra
0.6906,0.83498,0.00288,elektra
0.6928,0.84433,0.00285,elektra
0.6949,0.83974,0.00279,elektra
0.6971,0.84184,0.00270,elektra
0.6993,0.83979,0.00263,elektra
0.7014,0.84379,0.00260,elektra
0.7036,0.84067,0.00253,elektra
0.7058,0.85221,0.00254,elektra
0.7080,0.83921,0.00246,elektra
0.7102,0.84537,0.00242,elektra
0.7125,0.84620,0.00245,elektra
0.7147,0.84815,0.00239,elektra
0.7169,0.84176,0.00236,elektra
0.7192,0.84228,0.00231,elektra
0.7214,0.84673,0.00227,elektra
0.7237,0.85287,0.00227,elektra
0.7260,0.84390,0.00224,elektra
0.7283,0.85345,0.00221,elektra
0.7306,0.84730,0.00217,elektra
0.7329,0.84716,0.00215,elektra
0.7352,0.84848,0.00212,elektra
0.7376,0.85015,0.00211,elektra
0.7400,0.84252,0.00206,elektra
0.7423,0.84873,0.00202,elektra
0.7447,0.84862,0.00202,elektra
0.7471,0.84965,0.00199,elektra
0.7496,0.84569,0.00196,elektra
0.7520,0.85372,0.00196,elektra
0.7545,0.84635,0.00198,elektra
0.7569,0.85005,0.00202,elektra
0.7594,0.84619,0.00203,elektra
0.7619,0.85158,0.00203,elektra
0.7644,0.85133,0.00201,elektra
0.7670,0.84860,0.00194,elektra
0.7695,0.85237,0.00190,elektra
0.7721,0.85706,0.00189,elektra
0.7747,0.85623,0.00184,elektra
0.7773,0.85983,0.00183,elektra
0.7800,0.86340,0.00182,elektra
0.7826,0.86283,0.00182,elektra
0.7853,0.86577,0.00181,elektra
0.7880,0.86877,0.00180,elektra
0.7907,0.86368,0.00179,elektra
0.7934,0.86648,0.00179,elektra
0.7961,0.86387,0.00177,elektra
0.7989,0.86700,0.00177,elektra
0.8017,0.86587,0.00176,elektra
0.8045,0.86970,0.00176,elektra
0.8073,0.88277,0.00177,elektra
0.8101,0.86877,0.00174,elektra
0.8130,0.86875,0.00174,elektra
0.8159,0.87149,0.00174,elektra
0.8187,0.87428,0.00173,elektra
0.8217,0.87033,0.00173,elektra
0.8246,0.87139,0.00171,elektra
0.8276,0.86413,0.00171,elektra
0.8305,0.85115,0.00169,elektra
0.8335,0.85631,0.00169,elektra
0.8365,0.87455,0.00169,elektra
0.8396,0.87845,0.00170,elektra
0.8426,0.87638,0.00169,elektra
0.8457,0.87564,0.00169,elektra
0.8488,0.87790,0.00168,elektra
0.8519,0.87875,0.00169,elektra
0.8550,0.88070,0.00169,elektra
0.8582,0.88021,0.00168,elektra
0.8614,0.87989,0.00167,elektra
0.8646,0.88361,0.00168,elektra
0.8678,0.88071,0.00167,elektra
0.8710,0.88081,0.00167,elektra
0.8743,0.88280,0.00165,elektra
0.8775,0.88285,0.00165,elektra
0.8808,0.88363,0.00163,elektra
0.8841,0.88176,0.00163,elektra
0.8874,0.88040,0.00163,elektra
0.8908,0.88563,0.00163,elektra
0.8941,0.88138,0.00161,elektra
0.8975,0.88559,0.00162,elektra
0.9009,0.88305,0.00161,elektra
0.9043,0.87786,0.00160,elektra
0.9078,0.88005,0.00159,elektra
0.9112,0.87918,0.00158,elektra
0.9147,0.87848,0.00158,elektra
0.9182,0.88044,0.00159,elektra
0.9217,0.87880,0.00158,elektra
0.9252,0.88173,0.00160,elektra
0.9288,0.88185,0.00159,elektra
0.9323,0.88492,0.00161,elektra
0.9359,0.88642,0.00161,elektra
0.9395,0.88622,0.00162,elektra
0.9431,0.88857,0.00161,elektra
0.9467,0.89177,0.00161,elektra
0.9504,0.88999,0.00159,elektra
0.9540,0.89311,0.00159,elektra
0.9577,0.88953,0.00156,elektra
0.9614,0.88804,0.00155,elektra
0.9651,0.89444,0.00155,elektra
0.9688,0.89670,0.00155,elektra
0.9726,0.89552,0.00153,elektra
0.9763,0.89878,0.00153,elektra
0.9801,0.89927,0.00153,elektra
0.9839,0.90317,0.00154,elektra
0.9877,0.90606,0.00153,elektra
0.9915,0.90540,0.00154,elektra
0.9953,0.90832,0.00153,elektra
0.9991,0.91155,0.00153,elektra
1.0030,0.90972,0.00153,elektra
1.0069,0.91097,0.00153,elektra
1.0107,0.90799,0.00152,elektra
1.0146,0.91253,0.00153,elektra
1.0185,0.91178,0.00152,elektra
1.0225,0.91509,0.00152,elektra
1.0264,0.91559,0.00152,elektra
1.0303,0.91728,0.00152,elektra
1.0343,0.91468,0.00152,elektra
1.0383,0.91980,0.00152,elektra
1.0422,0.91739,0.00151,elektra
1.0462,0.91968,0.00151,elektra
1.0502,0.91575,0.00149,elektra
1.0543,0.92686,0.00151,elektra
1.0583,0.91669,0.00150,elektra
1.0623,0.92283,0.00151,elektra
1.0664,0.91585,0.00150,elektra
1.0704,0.92241,0.00150,elektra
1.0745,0.92083,0.00150,elektra
1.0786,0.92292,0.00151,elektra
1.0827,0.92061,0.00149,elektra
1.0868,0.92555,0.00151,elektra
1.0909,0.92292,0.00150,elektra
1.0950,0.92375,0.00150,elektra
1.0991,0.92356,0.00149,elektra
1.1032,0.92323,0.00150,elektra
1.1074,0.92176,0.00148,elektra
1.1115,0.92379,0.00150,elektra
1.1157,0.92073,0.00150,elektra
1.1199,0.92572,0.00152,elektra
1.1240,0.91953,0.00152,elektra
1.1282,0.92552,0.00153,elektra
1.1324,0.92399,0.00152,elektra
1.1366,0.92913,0.00153,elektra
1.1408,0.92864,0.00153,elektra
1.1450,0.93010,0.00152,elektra
1.1492,0.93263,0.00151,elektra
1.1534,0.93664,0.00151,elektra
