asteroid number,asteroid name,wavelength,reflectance,uncertainty
56,melete,0.7370,0.95994,0.01126
56,melete,0.7391,0.96946,0.01020
56,melete,0.7412,0.95579,0.01035
56,melete,0.7434,0.97200,0.01000
56,melete,0.7456,0.95909,0.00980
56,melete,0.7479,0.97172,0.00946
56,melete,0.7501,0.97389,0.01200
56,melete,0.7524,0.95730,0.00952
56,melete,0.7547,0.98115,0.00938
56,melete,0.7571,0.97059,0.01168
56,melete,0.7643,0.98058,0.00912
56,melete,0.7667,0.97069,0.00979
56,melete,0.7692,0.95155,0.00891
56,melete,0.7717,0.95853,0.00980
56,melete,0.7743,0.97163,0.01131
56,melete,0.7768,0.97087,0.01093
56,melete,0.7794,0.94552,0.00960
56,melete,0.7820,0.97851,0.01133
56,melete,0.7846,0.95136,0.01115
56,melete,0.7873,0.95966,0.00889
56,melete,0.7900,0.95438,0.00886
56,melete,0.7927,0.97332,0.00878
56,melete,0.7954,0.97031,0.00945
56,melete,0.7982,0.97342,0.00915
56,melete,0.8010,0.97455,0.00994
56,melete,0.8038,0.98266,0.00945
56,melete,0.8066,0.96145,0.01038
56,melete,0.8095,0.98803,0.00987
56,melete,0.8123,0.96805,0.00818
56,melete,0.8152,0.97832,0.00886
56,melete,0.8182,0.96296,0.01053
56,melete,0.8211,0.97417,0.00860
56,melete,0.8241,0.96220,0.00878
56,melete,0.8271,0.98039,0.00900
56,melete,0.8301,0.96409,0.00861
56,melete,0.8331,0.98171,0.00831
56,melete,0.8362,0.96126,0.01009
56,melete,0.8392,0.97380,0.00908
56,melete,0.8423,0.96456,0.00885
56,melete,0.8454,0.97229,0.00842
56,melete,0.8486,0.96145,0.00836
56,melete,0.8517,0.96908,0.00788
56,melete,0.8549,0.96117,0.00981
56,melete,0.8581,0.96022,0.00824
56,melete,0.8613,0.94080,0.00825
56,melete,0.8645,0.95824,0.00787
56,melete,0.8678,0.94825,0.00786
56,melete,0.8711,0.95155,0.00854
56,melete,0.8743,0.92619,0.00768
56,melete,0.8777,0.94750,0.00864
56,melete,0.8810,0.92968,0.00813
56,melete,0.8843,0.95428,0.00844
56,melete,0.8877,0.94316,0.00778
56,melete,0.8911,0.94655,0.00790
56,melete,0.8945,0.92949,0.00802
56,melete,0.8979,0.94146,0.00753
56,melete,0.9013,0.92723,0.00865
56,melete,0.9048,0.95014,0.00745
56,melete,0.9082,0.95268,0.00793
56,melete,0.9117,0.96060,0.00798
56,melete,0.9152,0.94806,0.00796
56,melete,0.9187,0.95824,0.00846
56,melete,0.9222,0.95542,0.00757
56,melete,0.9258,0.95919,0.00787
56,melete,0.9294,0.94439,0.00844
56,melete,0.9329,0.96757,0.00881
56,melete,0.9365,0.93883,0.00742
56,melete,0.9401,0.94476,0.00794
56,melete,0.9437,0.93025,0.00791
56,melete,0.9474,0.94684,0.00785
56,melete,0.9510,0.91752,0.00704
56,melete,0.9547,0.94137,0.00753
56,melete,0.9584,0.92553,0.00794
56,melete,0.9621,0.96286,0.00757
56,melete,0.9658,0.93883,0.00738
56,melete,0.9695,0.96512,0.00727
56,melete,0.9732,0.92308,0.00949
56,melete,0.9770,0.95542,0.00724
56,melete,0.9807,0.94985,0.00802
56,melete,0.9845,0.95136,0.00711
56,melete,0.9883,0.93223,0.00717
56,melete,0.9921,0.94882,0.00706
56,melete,0.9959,0.92591,0.00725
56,melete,0.9997,0.95014,0.00782
56,melete,1.0035,0.91997,0.00684
56,melete,1.0074,0.94382,0.00687
56,melete,1.0112,0.92751,0.00958
56,melete,1.0151,0.93553,0.00694
56,melete,1.0190,0.92893,0.00683
56,melete,1.0229,0.94712,0.00701
56,melete,1.0268,0.92808,0.00667
56,melete,1.0307,0.94948,0.00706
56,melete,1.0346,0.93949,0.00710
56,melete,1.0385,0.94071,0.00711
56,melete,1.0425,0.94165,0.00689
56,melete,1.0464,0.93637,0.00685
56,melete,1.0504,0.93355,0.00681
56,melete,1.0543,0.95994,0.00738
56,melete,1.0583,0.93553,0.00674
56,melete,1.0623,0.94957,0.00713
56,melete,1.0663,0.92214,0.00652
56,melete,1.0703,0.94618,0.00738
56,melete,1.0743,0.93647,0.00691
56,melete,1.0784,0.93779,0.00664
56,melete,1.0824,0.93062,0.00662
56,melete,1.0864,0.94750,0.00712
56,melete,1.0905,0.93741,0.00883
56,melete,1.0945,0.94806,0.00727
56,melete,1.0986,0.92949,0.00697
56,melete,1.1027,0.94797,0.00739
56,melete,1.1068,0.92902,0.00693
56,melete,1.1108,0.95598,0.00780
56,melete,1.1149,0.93562,0.00658
56,melete,1.1190,0.96823,0.00756
56,melete,1.1231,0.94721,0.00775
56,melete,1.1273,0.95325,0.00705
56,melete,1.1314,0.93628,0.00732
56,melete,1.1355,0.94948,0.00753
56,melete,1.1396,0.94420,0.00685
56,melete,1.1438,0.96079,0.00842
56,melete,1.1479,0.93326,0.00699
56,melete,1.1521,0.95947,0.00746
56,melete,1.1562,0.94015,0.00743
56,melete,1.1604,0.96899,0.01063
56,melete,1.1646,0.94033,0.00836
56,melete,1.1688,0.96560,0.00758
56,melete,1.1729,0.94260,0.00758
56,melete,1.1771,0.96154,0.00735
56,melete,1.1813,0.93543,0.00700
56,melete,1.1855,0.97398,0.00843
56,melete,1.1897,0.94373,0.00713
56,melete,1.1939,0.97841,0.00799
56,melete,1.1981,0.95146,0.00759
56,melete,1.2023,0.96663,0.00768
56,melete,1.2065,0.95099,0.00782
56,melete,1.2108,0.96352,0.00762
56,melete,1.2150,0.95853,0.00722
56,melete,1.2192,0.97191,0.00785
56,melete,1.2234,0.94401,0.00706
56,melete,1.2277,0.98859,0.00825
56,melete,1.2319,0.94476,0.00810
56,melete,1.2361,0.96880,0.00887
56,melete,1.2404,0.97898,0.00750
56,melete,1.2446,0.97003,0.00775
56,melete,1.2489,0.96126,0.00747
56,melete,1.2531,0.98501,0.00784
56,melete,1.2574,0.95608,0.00728
56,melete,1.2616,0.96597,0.00772
56,melete,1.2659,0.93345,0.00875
56,melete,1.2744,0.95089,0.00798
