ASTEROID_NUMBER,PROVISIONAL_ID,PROPER_A,PROPER_ECC,SINE_PROPER_INCL,FAMILY_NAME,CLUMP_FLAG,CONFIDENCE_LEVEL
1,---,2.76709,0.1150,0.1678,Ceres,F,2
3,---,2.66940,0.2320,0.2308,Juno,C,0
4,---,2.36146,0.0986,0.1107,Vesta,F,3
5,---,2.57624,0.2289,0.0787,---,-,9
6,---,2.42533,0.1624,0.2450,---,-,9
7,---,2.38614,0.2120,0.1103,---,-,9
8,---,2.20137,0.1445,0.0930,Flora,F,2
9,---,2.38639,0.1273,0.0817,---,-,9
10,---,3.14228,0.1347,0.0884,Hygiea,F,3
11,---,2.45219,0.0747,0.0677,---,-,9
12,---,2.33420,0.1746,0.1617,---,-,9
13,---,2.57632,0.1243,0.2782,---,-,9
14,---,2.58755,0.1976,0.1449,---,-,9
15,---,2.64362,0.1481,0.2264,Eunomia,F,3
16,---,2.92212,0.1033,0.0438,---,-,9
17,---,2.47101,0.1375,0.0850,---,-,9
18,---,2.29570,0.1830,0.1661,---,-,9
19,---,2.44195,0.1346,0.0387,---,-,9
20,---,2.40856,0.1619,0.0247,Massalia,F,3
21,---,2.43525,0.1296,0.0372,---,-,9
22,---,2.90987,0.0887,0.2178,---,-,9
23,---,2.62800,0.2553,0.1673,---,-,9
24,---,3.13432,0.1518,0.0189,Themis,F,3
26,---,2.65565,0.1196,0.0523,---,-,9
27,---,2.34698,0.1868,0.0125,---,-,9
28,---,2.77735,0.1792,0.1472,---,-,9
29,---,2.55433,0.0716,0.1108,---,-,9
30,---,2.36561,0.1048,0.0490,---,-,9
32,---,2.58713,0.1097,0.1066,---,-,9
33,---,2.86689,0.2996,0.0353,---,-,9
34,---,2.68675,0.1449,0.0967,---,-,9
35,---,2.99788,0.2590,0.1448,---,-,9
37,---,2.64215,0.1600,0.0572,---,-,9
38,---,2.74073,0.1681,0.1357,---,-,9
39,---,2.76880,0.0677,0.1704,---,-,9
40,---,2.26724,0.0205,0.0650,---,-,9
42,---,2.44127,0.1894,0.1319,---,-,9
43,---,2.20331,0.1401,0.0702,Flora,F,1
44,---,2.42273,0.1740,0.0531,Nysa,F,3
45,---,2.72071,0.1127,0.1052,---,-,9
46,---,2.52572,0.1180,0.0440,Hestia,C,0
47,---,2.88009,0.1129,0.0906,---,-,9
48,---,3.11261,0.0633,0.1148,---,-,9
49,---,3.08887,0.1994,0.0786,---,-,9
50,---,2.65010,0.2437,0.0461,---,-,9
51,---,2.36570,0.1159,0.1730,---,-,9
52,---,3.09706,0.1183,0.1106,Hygiea,F,1
53,---,2.61916,0.2091,0.0792,---,-,9
54,---,2.71073,0.1881,0.2112,---,-,9
55,---,2.75976,0.1059,0.1223,---,-,9
56,---,2.59801,0.2106,0.1516,---,-,9
57,---,3.15399,0.0973,0.2645,---,-,9
58,---,2.69997,0.0846,0.0817,---,-,9
59,---,2.71331,0.0685,0.1456,---,-,9
60,---,2.39316,0.2022,0.0708,---,-,9
62,---,3.12163,0.1510,0.0225,Themis,F,3
63,---,2.39532,0.1203,0.1081,---,-,9
64,---,2.68182,0.1517,0.0394,---,-,9
66,---,2.64602,0.1442,0.0561,---,-,9
67,---,2.42097,0.1556,0.1155,---,-,9
68,---,2.78212,0.1481,0.1278,---,-,9
69,---,2.97985,0.1778,0.1537,---,-,9
70,---,2.61468,0.1544,0.1935,Eunomia,F,1
72,---,2.26626,0.0755,0.1043,---,-,9
73,---,2.66471,0.0394,0.0450,---,-,9
74,---,2.77956,0.1996,0.0744,---,-,9
75,---,2.67207,0.2695,0.0850,---,-,9
77,---,2.66869,0.1139,0.0472,---,-,9
78,---,2.62117,0.2378,0.1557,---,-,9
79,---,2.44423,0.1768,0.0875,---,-,9
80,---,2.29581,0.1495,0.1590,---,-,9
81,---,2.85415,0.1813,0.1432,---,-,9
82,---,2.76240,0.2499,0.0467,---,-,9
83,---,2.43153,0.1173,0.0794,---,-,9
84,---,2.36217,0.1930,0.1630,---,-,9
85,---,2.65369,0.1512,0.2178,Eunomia,F,3
86,---,3.10774,0.1835,0.0630,---,-,9
88,---,2.76818,0.1453,0.1090,---,-,9
89,---,2.55161,0.1237,0.2876,---,-,9
90,---,3.14556,0.1553,0.0231,Themis,F,3
91,---,2.59002,0.0941,0.0394,---,-,9
92,---,3.19553,0.0707,0.1513,---,-,9
93,---,2.75476,0.1425,0.1547,---,-,9
94,---,3.15853,0.0732,0.1430,---,-,9
95,---,3.06887,0.1306,0.2351,---,-,9
96,---,3.05283,0.1877,0.2834,---,-,9
97,---,2.66890,0.2386,0.2091,---,-,9
98,---,2.68694,0.2478,0.2581,---,-,9
99,---,2.66371,0.2286,0.2190,---,-,9
100,---,3.09453,0.1501,0.0912,Hygiea,F,2
101,---,2.58327,0.1099,0.1795,---,-,9
102,---,2.66137,0.2075,0.1005,---,-,9
103,---,2.70209,0.0570,0.0809,---,-,9
104,---,3.14795,0.1456,0.0420,Themis,F,1
106,---,3.17067,0.1467,0.0627,---,-,9
108,---,3.21658,0.1101,0.0839,Hygiea,F,1
109,---,2.69618,0.2651,0.1486,---,-,9
110,---,2.73283,0.0471,0.0902,Lydia,F,3
111,---,2.59424,0.1261,0.0995,---,-,9
112,---,2.43402,0.0943,0.0558,---,-,9
113,---,2.37595,0.1210,0.0772,---,-,9
114,---,2.67657,0.1765,0.0794,---,-,9
115,---,2.37989,0.1794,0.2145,---,-,9
116,---,2.76849,0.1750,0.0478,---,-,9
117,---,2.99131,0.0301,0.2639,---,-,9
118,---,2.43802,0.1674,0.1232,---,-,9
119,---,2.58133,0.0485,0.1053,---,-,9
120,---,3.11745,0.0852,0.1323,---,-,9
122,---,3.22255,0.0521,0.0325,---,-,9
123,---,2.69510,0.1097,0.1270,---,-,9
124,---,2.62994,0.1075,0.0542,---,-,9
125,---,2.74327,0.0858,0.0772,Liberatrix,F,2
126,---,2.43882,0.0724,0.0458,---,-,9
127,---,2.75598,0.0912,0.1367,---,-,9
128,---,2.75006,0.0880,0.0902,Nemesis,F,3
129,---,2.87059,0.2248,0.2079,---,-,9
131,---,2.43162,0.0938,0.0719,---,-,9
133,---,3.06300,0.1541,0.1469,---,-,9
134,---,2.56411,0.1093,0.2081,---,-,9
135,---,2.42844,0.1743,0.0465,Nysa,F,3
136,---,2.28676,0.0201,0.1728,---,-,9
137,---,3.11861,0.1853,0.2511,Meliboea,F,3
138,---,2.44808,0.1376,0.0442,---,-,9
139,---,2.78319,0.2254,0.1834,---,-,9
140,---,2.73236,0.2010,0.0343,---,-,9
141,---,2.66591,0.1706,0.2245,Eunomia,F,2
142,---,2.41861,0.1591,0.0558,Polana(nysa),F,2
143,---,2.76156,0.0927,0.2103,---,-,9
144,---,2.65502,0.1905,0.0667,Vibilia,C,0
145,---,2.67269,0.1690,0.2028,Adeona,F,3
146,---,2.71877,0.0907,0.2085,---,-,9
147,---,3.13704,0.0056,0.0529,---,-,9
149,---,2.17467,0.0849,0.0258,---,-,9
150,---,2.98211,0.0923,0.0489,---,-,9
151,---,2.59181,0.0698,0.1044,---,-,9
152,---,3.13984,0.0763,0.2012,---,-,9
155,---,2.75838,0.2687,0.1943,---,-,9
156,---,2.73010,0.2782,0.1792,---,-,9
157,---,2.57979,0.2156,0.1995,Dejanira,C,0
158,---,2.86886,0.0451,0.0375,Koronis,F,3
159,---,3.10469,0.1162,0.0892,---,-,9
160,---,2.72775,0.0556,0.0703,---,-,9
161,---,2.37936,0.0992,0.1532,---,-,9
162,---,3.01917,0.2091,0.0989,---,-,9
163,---,2.36709,0.2099,0.0826,Erigone,F,3
165,---,3.12926,0.0820,0.2113,---,-,9
166,---,2.68587,0.1760,0.2005,Adeona,F,3
167,---,2.85360,0.0428,0.0370,Koronis,F,3
169,---,2.35822,0.0935,0.0955,---,-,9
170,---,2.55370,0.1012,0.2592,Maria,F,3
171,---,3.13654,0.1514,0.0234,Themis,F,3
172,---,2.37987,0.0711,0.1767,---,-,9
173,---,2.74325,0.1723,0.2338,---,-,9
174,---,2.85994,0.1484,0.2281,---,-,9
175,---,3.20293,0.1990,0.0538,---,-,9
177,---,2.77000,0.1992,0.0381,---,-,9
178,---,2.46015,0.0526,0.0226,---,-,9
179,---,2.97235,0.0762,0.1569,---,-,9
180,---,2.72189,0.1915,0.0324,---,-,9
181,---,3.12692,0.2257,0.2957,---,-,9
182,---,2.41621,0.1758,0.0197,---,-,9
184,---,3.18249,0.1026,0.0371,---,-,9
186,---,2.36188,0.0747,0.2199,---,-,9
187,---,2.73084,0.2866,0.1711,---,-,9
188,---,2.76177,0.1486,0.2224,---,-,9
189,---,2.45031,0.0151,0.0982,---,-,9
191,---,2.89563,0.0538,0.1913,---,-,9
192,---,2.40286,0.2093,0.1214,---,-,9
193,---,2.60129,0.2751,0.2322,---,-,9
194,---,2.61644,0.1907,0.2960,---,-,9
195,---,2.87798,0.0680,0.1219,---,-,9
196,---,3.11454,0.0340,0.1078,---,-,9
197,---,2.73981,0.1303,0.1355,---,-,9
198,---,2.45911,0.1799,0.1854,---,-,9
199,---,3.16919,0.2005,0.2350,---,-,9
200,---,2.73751,0.1042,0.1349,---,-,9
201,---,2.67818,0.1456,0.0901,---,-,9
202,---,3.07243,0.1254,0.1355,---,-,9
203,---,2.73720,0.0399,0.0644,---,-,9
204,---,2.67107,0.1638,0.1513,---,-,9
205,---,2.77733,0.0450,0.1940,---,-,9
206,---,2.74074,0.0495,0.0550,---,-,9
207,---,2.28396,0.0649,0.0582,---,-,9
208,---,2.89297,0.0449,0.0372,Koronis,F,3
209,---,3.14788,0.0732,0.1299,---,-,9
210,---,2.72212,0.0960,0.0832,Nemesis,F,2
211,---,3.04433,0.1504,0.0856,---,-,9
212,---,3.11320,0.0919,0.0929,---,-,9
213,---,2.75297,0.1455,0.0997,---,-,9
214,---,2.61147,0.0580,0.0682,---,-,9
215,---,2.76669,0.0145,0.0292,---,-,9
216,---,2.79439,0.2331,0.2202,---,-,9
217,---,2.86939,0.2842,0.1704,---,-,9
218,---,2.66719,0.1400,0.2582,---,-,9
219,---,2.35410,0.1661,0.1922,---,-,9
220,---,2.34855,0.2036,0.1544,---,-,9
221,---,3.01239,0.0769,0.1726,Eos,F,3
222,---,3.13494,0.1548,0.0183,Themis,F,3
223,---,3.08994,0.1344,0.0264,Themis,F,3
224,---,2.64530,0.0575,0.1082,---,-,9
226,---,2.71277,0.1920,0.2550,---,-,9
227,---,3.14445,0.2202,0.1848,---,-,9
228,---,2.20136,0.1810,0.0520,---,-,9
230,---,2.38232,0.0434,0.1765,---,-,9
231,---,2.92054,0.1693,0.1007,---,-,9
232,---,2.55351,0.2231,0.0966,---,-,9
233,---,2.66009,0.0700,0.1462,---,-,9
234,---,2.38576,0.2194,0.2407,---,-,9
